Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,3141,A5-32,RCOT5-FALP,,255,100,6
3,01PFP,3141,A5-40,RCOT5-FALP,,295,100,3
3,01PFQ,3141,F1-11,RCOT7-FALP,,95,100,3
3,01PFH,3142,D6-09,RCOT10-FALP,,310,100,13
3,01PFH,3142,A1-11,RCOT10-FALP,,365,100,13
3,01PFP,3142,A4-17,RCOT5-FALP,,380,100,7
3,07291,3142,G5-35,VO8X0.5(B),,145,100,13
3,07291,3142,G3-33,VO8X0.5(B),,200,100,2
3,07410,3142,G3-32,VO12X0.5(B),,200,100,11
3,00354,3139,F5-28,HCOT7(GR),,240,100,7
3,01PFH,3139,A2-06,RCOT10-FALP,,70,100,7
3,01PFH,3139,A2-08,RCOT10-FALP,,80,100,5
3,01PFH,3139,A2-14,RCOT10-FALP,,110,100,5
3,01PFH,3139,A2-16,RCOT10-FALP,,120,100,8
3,01PFH,3139,A2-24,RCOT10-FALP,,165,100,2
3,01PFH,3139,A2-27,RCOT10-FALP,,180,100,7
3,01PFH,3139,A2-33,RCOT10-FALP,,220,100,6
3,01PFH,3139,D6-01,RCOT10-FALP,,255,100,4
3,01PFH,3139,E5-18,RCOT10-FALP,,260,100,8
3,01PFH,3139,B1-07,RCOT10-FALP,,275,100,2
3,01PFH,3139,D6-02,RCOT10-FALP,,345,100,8
3,01PFH,3139,D6-03,RCOT10-FALP,,420,100,4
3,01PFH,3139,D6-04,RCOT10-FALP,,425,100,3
3,01PFH,3139,A1-20,RCOT10-FALP,,505,100,2
3,01PFH,3139,B2-11,RCOT10-FALP,,515,100,6
3,01PFH,3139,D6-06,RCOT10-FALP,,695,100,5
3,01PFH,3139,D6-08,RCOT10-FALP,,1180,100,4
3,01PFI,3139,D6-10,RCOT13-FALP,,480,100,7
3,01PFI,3139,D6-12,RCOT13-FALP,,625,100,8
3,01PFI,3139,D6-13,RCOT13-FALP,,695,100,8
3,01PFJ,3139,E5-10,RCOT15-FALP,,40,100,4
3,01PFJ,3139,E5-11,RCOT15-FALP,,105,100,8
3,01PFJ,3139,E5-12,RCOT15-FALP,,180,100,8
3,01PFJ,3139,E5-13,RCOT15-FALP,,205,100,7
3,01PFJ,3139,E5-14,RCOT15-FALP,,215,100,8
3,01PFJ,3139,B4-08,RCOT15-FALP,,220,100,6
3,01PFJ,3139,E5-15,RCOT15-FALP,,390,100,8
3,01PFJ,3139,E5-16,RCOT15-FALP,,480,100,3
3,01PFJ,3139,B4-03,RCOT15-FALP,,525,100,8
3,01PFJ,3139,E6-01,RCOT15-FALP,,535,100,5
3,01PFJ,3139,E5-17,RCOT15-FALP,,580,100,6
3,01PFP,3139,A6-01,RCOT5-FALP,,40,100,8
3,01PFP,3139,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,3139,A6-04,RCOT5-FALP,,55,100,8
3,01PFP,3139,A6-06,RCOT5-FALP,,65,100,8
3,01PFP,3139,A6-07,RCOT5-FALP,,70,100,2
3,01PFP,3139,A6-09,RCOT5-FALP,,80,100,8
3,01PFP,3139,A6-11,RCOT5-FALP,,90,100,8
3,01PFP,3139,A6-12,RCOT5-FALP,,95,100,8
3,01PFP,3139,A5-02,RCOT5-FALP,,105,100,3
3,01PFP,3139,A5-03,RCOT5-FALP,,110,100,8
3,01PFP,3139,A5-04,RCOT5-FALP,,115,100,8
3,01PFP,3139,A5-06,RCOT5-FALP,,125,100,3
3,01PFP,3139,A5-08,RCOT5-FALP,,135,100,8
3,01PFP,3139,A5-15,RCOT5-FALP,,170,100,8
3,01PFP,3139,A5-16,RCOT5-FALP,,175,100,8
3,01PFP,3139,A5-19,RCOT5-FALP,,190,100,8
3,01PFP,3139,A5-20,RCOT5-FALP,,195,100,6
3,01PFP,3139,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,3139,A5-22,RCOT5-FALP,,205,100,3
3,01PFP,3139,A5-23,RCOT5-FALP,,210,100,3
3,01PFP,3139,A5-31,RCOT5-FALP,,250,100,3
3,01PFP,3139,A5-33,RCOT5-FALP,,260,100,4
3,01PFP,3139,A5-37,RCOT5-FALP,,280,100,8
3,01PFP,3139,E5-03,RCOT5-FALP,,740,100,8
3,01PFP,3139,E5-08,RCOT5-FALP,,840,100,3
3,01PFP,3139,E5-07,RCOT5-FALP,,1025,100,8
3,01PFP,3139,E5-04,RCOT5-FALP,,1180,100,4
3,01PFQ,3139,F1-30,RCOT7-FALP,,35,100,3
3,01PFQ,3139,F1-03,RCOT7-FALP,,55,100,8
3,01PFQ,3139,F1-05,RCOT7-FALP,,65,100,6
3,01PFQ,3139,F1-08,RCOT7-FALP,,80,100,5
3,01PFQ,3139,E1-01,RCOT7-FALP,,100,100,3
3,01PFQ,3139,E1-02,RCOT7-FALP,,105,100,2
3,01PFQ,3139,E1-24,RCOT7-FALP,,215,100,2
3,01PFQ,3139,E1-26,RCOT7-FALP,,225,100,8
3,01PFQ,3139,F2-11,RCOT7-FALP,,445,100,8
3,01PFQ,3139,F3-10,RCOT7-FALP,,480,100,6
3,01S68,3139,E6-03,RCOT17-FALP,,180,100,6
3,01S68,3139,E6-04,RCOT17-FALP,,380,100,7
3,01S68,3139,E6-05,RCOT17-FALP,,535,100,8
3,07410,3139,G3-30,VO12X0.5(B),,110,100,5
3,01PFQ,3139,E1-33,RCOT7-FALP,,260,100,8
3,01PFQ,3139,F1-11,RCOT7-FALP,,95,100,3
3,01PFQ,3139,E1-14,RCOT7-FALP,,165,100,3
3,01PFQ,3139,F1-09,RCOT7-FALP,,85,100,8
3,01PFQ,3139,E1-03,RCOT7-FALP,,110,100,8
3,01PFQ,3139,F1-01,RCOT7-FALP,,45,100,8
3,01PFH,3139,A1-02,RCOT10-FALP,,270,100,5
3,01PFH,3139,A2-22,RCOT10-FALP,,150,100,4
3,01PFP,3139,A4-12,RCOT5-FALP,,355,100,8
3,01PFP,3139,A5-11,RCOT5-FALP,,150,100,8
3,01PFP,3139,A4-07,RCOT5-FALP,,330,100,5
3,01S68,3139,E6-06,RCOT17-FALP,,480,100,5
3,01PFJ,3139,E6-02,RCOT15-FALP,,625,100,6
3,01PFH,3139,A1-04,RCOT10-FALP,,285,100,8
3,01PFK,3139,C3-06,RCOT19-FALP,,180,100,6
3,01PFK,3139,D6-14,RCOT19-FALP,,380,100,8
3,01PFK,3139,D6-15,RCOT19-FALP,,535,100,2
3,01PFQ,3139,F3-08,RCOT7-FALP,,475,100,5
3,01PFI,3139,B6-18,RCOT13-FALP,,180,100,4
3,01PFQ,3139,F1-17,RCOT7-FALP,,515,100,2
